Timestamp,Power (MW),Press (psig),Temp (°F),PowerSwing (MW)
2016-02-01 00:00:00,71.9112726423475,790.547793816461,1048.9153274197,3.6005630493164062
2016-02-01 00:30:00,70.2988041136,777.205818617079,1048.35918355306,1.0416412353516051
2016-02-01 01:00:00,70.2333250893487,776.120513949924,1047.95807393392,2.2372207641600994
2016-02-01 01:30:00,67.1631215455797,749.697196417914,1048.38847371419,5.789321899414105
2016-02-01 02:00:00,69.5558836873372,768.744460347493,1048.35793579102,6.1011428833007955
2016-02-01 02:30:00,68.4284731547038,759.161932779948,1048.4603580051,3.1817169189452983
2016-02-01 03:00:00,64.7423553212484,727.935493265788,1049.11538126628,9.625614166259808
2016-02-01 03:30:00,59.9217890803019,690.183078443739,1049.07044108073,1.2915115356446023
2016-02-01 04:00:00,59.6824707200792,689.698231641981,1049.14097907172,0.8484611511229971
2016-02-01 04:30:00,62.1678167321947,712.26388220893,1047.55177497016,15.9990234375
2016-02-01 05:00:00,78.2573949983385,848.356915791829,1048.8997390408,4.968116760253892
2016-02-01 05:30:00,79.5051921463013,857.865941162109,1047.97873372396,5.224517822265597
2016-02-01 06:00:00,75.6789321306017,821.939909125434,1046.81627122667,6.711936950683608
2016-02-01 06:30:00,76.4482497702705,826.67143995497,1047.82298800998,2.344703674316392
2016-02-01 07:00:00,78.2766415490045,843.308766411675,1049.46124762641,3.3864212036132955
2016-02-01 07:30:00,79.7618801456028,857.660035909017,1048.59022142198,0.990653991699304
2016-02-01 08:00:00,79.8283353339301,859.887952236599,1048.53913757324,1.2862014770508097
2016-02-01 08:30:00,79.6134950553046,859.760814446343,1047.838019477,1.2563400268554972
2016-02-01 09:00:00,78.7068929841783,852.291494818793,1046.74636773003,4.138214111328097
2016-02-01 09:30:00,76.2634260728624,826.708399895562,1047.46801038954,1.2498855590820028
2016-02-01 10:00:00,76.5984651480781,828.888520236545,1048.3679373508,1.1849060058593892
2016-02-01 10:30:00,76.8774409823947,831.896565687391,1048.43568847656,1.0715026855469034
2016-02-01 11:00:00,77.3347156100803,835.626206800673,1048.39519761827,0.962738037109304
2016-02-01 11:30:00,77.7457956314087,838.266507263184,1048.63784918891,0.9538497924804972
2016-02-01 12:00:00,78.4296077728272,844.723755696615,1048.81001010471,3.394317626953196
2016-02-01 12:30:00,77.6196152877808,836.925556301541,1045.92042297363,7.286903381347699
2016-02-01 13:00:00,65.2132984542847,732.087794664171,1048.85361504449,11.941158294677706
2016-02-01 13:30:00,61.4849388800727,694.345243530273,1048.29788811578,0.996242523193402
2016-02-01 14:00:00,61.1539596324497,693.890837300619,1048.34885647244,0.9768295288085938
2016-02-01 14:30:00,61.2372983402676,693.8429425727,1048.23266370985,0.6879997253416974
2016-02-01 15:00:00,61.5725978427463,694.171591457791,1048.37035895454,1.0289993286133026
2016-02-01 15:30:00,61.6164066463047,693.096717224121,1048.2124553087,0.9552993774413991
2016-02-01 16:00:00,61.3727596855164,692.895955200195,1048.63051717122,0.7905883789062997
2016-02-01 16:30:00,61.2439171579149,692.6385252889,1047.80117384169,0.7811813354491974
2016-02-01 17:00:00,61.1906966167026,692.683117234972,1048.00020670573,0.8508071899413991
2016-02-01 17:30:00,61.0837850062052,691.596213039822,1048.45057718913,0.7515678405762003
2016-02-01 18:00:00,61.1880086729262,691.436293199327,1048.80199279785,0.7774200439452983
2016-02-01 18:30:00,61.0980851660834,689.858355034722,1047.95355584039,0.810558319091804
2016-02-01 19:00:00,60.5363803524441,685.325824144152,1048.06532891168,1.0307998657225994
2016-02-01 19:30:00,60.0597151205275,686.002808600532,1047.96451470269,0.8324813842774006
2016-02-01 20:00:00,60.405001572503,690.523738742404,1048.34473090278,3.416629791259801
2016-02-01 20:30:00,59.6549434534709,684.730249023438,1048.32995944553,1.1459503173827983
2016-02-01 21:00:00,59.5191976971096,684.551333448622,1048.35245103624,0.837779998779304
2016-02-01 21:30:00,59.478506749471,684.037194451226,1048.46850511339,0.7570304870606037
2016-02-01 22:00:00,59.5792540041606,684.531916910807,1048.36086697049,0.8268814086913991
2016-02-01 22:30:00,59.6839977158441,684.683618333605,1048.17651204427,0.8340606689453054
2016-02-01 23:00:00,59.7596946843465,683.936680128309,1048.07642917209,0.7921600341797017
2016-02-01 23:30:00,59.4213616667853,680.727208489312,1048.17895704481,8.772800445556697
2016-02-02 00:00:00,9.74019756646879,251.616382831997,948.958111402723,200.0
2016-02-02 00:30:00,0.0,14.8679458469815,927.848849182129,0.0
2016-02-02 01:00:00,0.0,14.5395496151182,920.261386142307,0.0
2016-02-02 01:30:00,0.0,14.7783578920364,907.187671000163,0.0
2016-02-02 02:00:00,0.0,14.8851005967458,893.399514363607,0.0
2016-02-02 02:30:00,0.0,14.8402473174201,879.820223727756,0.0
2016-02-02 03:00:00,0.0,14.4919009839164,865.821765374078,0.0
2016-02-02 03:30:00,0.0,14.3535503085454,851.583312208388,0.0
2016-02-02 04:00:00,0.0,14.1470749240451,837.428771362305,0.0
2016-02-02 04:30:00,0.0,14.005694893731,822.919165445964,0.0
2016-02-02 05:00:00,0.0,13.8893703179889,809.163579440647,0.0
2016-02-02 05:30:00,0.0,13.7124916982651,795.151195203993,0.0
2016-02-02 06:00:00,0.0,13.621964547899,780.934467976888,0.0
2016-02-02 06:30:00,0.0,13.5176908848021,767.110755750868,0.0
2016-02-02 07:00:00,0.0,13.4865748755137,753.538252597385,0.0
2016-02-02 07:30:00,0.0,13.4757388422224,739.755859612359,0.0
2016-02-02 08:00:00,0.0,13.4701353730096,725.581898532444,0.0
